image,word_text,font_color,predicted_color,contrast,condition,is_word_prediction,is_color_prediction
green_as_brown_bg_medium.png,green,brown,brown,medium,incongruent,False,True
green_as_brown_bg_same.png,green,brown,brown,same,incongruent,False,True
green_as_gray_bg_high.png,green,gray,green,high,incongruent,True,False
green_as_gray_bg_low.png,green,gray,green,low,incongruent,True,False
green_as_gray_bg_medium.png,green,gray,green,medium,incongruent,True,False
green_as_gray_bg_same.png,green,gray,gray,same,incongruent,False,True
green_as_orange_bg_high.png,green,orange,green,high,incongruent,True,False
green_as_orange_bg_low.png,green,orange,green,low,incongruent,True,False
green_as_orange_bg_medium.png,green,orange,green,medium,incongruent,True,False
green_as_orange_bg_same.png,green,orange,orange,same,incongruent,False,True
green_as_pink_bg_high.png,green,pink,green,high,incongruent,True,False
green_as_pink_bg_low.png,green,pink,green,low,incongruent,True,False
green_as_pink_bg_medium.png,green,pink,green,medium,incongruent,True,False
green_as_pink_bg_same.png,green,pink,pink,same,incongruent,False,True
green_as_purple_bg_high.png,green,purple,purple,high,incongruent,False,True
green_as_purple_bg_low.png,green,purple,purple,low,incongruent,False,True
green_as_purple_bg_medium.png,green,purple,purple,medium,incongruent,False,True
green_as_purple_bg_same.png,green,purple,purple,same,incongruent,False,True
green_as_red_bg_high.png,green,red,green,high,incongruent,True,False
green_as_red_bg_low.png,green,red,green,low,incongruent,True,False
green_as_red_bg_medium.png,green,red,green,medium,incongruent,True,False
green_as_red_bg_same.png,green,red,red,same,incongruent,False,True
green_as_yellow_bg_high.png,green,yellow,green,high,incongruent,True,False
green_as_yellow_bg_low.png,green,yellow,green,low,incongruent,True,False
green_as_yellow_bg_medium.png,green,yellow,green,medium,incongruent,True,False
green_as_yellow_bg_same.png,green,yellow,yellow,same,incongruent,False,True
yellow_as_black_bg_high.png,yellow,black,yellow,high,incongruent,True,False
yellow_as_black_bg_low.png,yellow,black,black,low,incongruent,False,True
yellow_as_black_bg_medium.png,yellow,black,yellow,medium,incongruent,True,False
yellow_as_black_bg_same.png,yellow,black,black,same,incongruent,False,True
yellow_as_blue_bg_high.png,yellow,blue,yellow,high,incongruent,True,False
yellow_as_blue_bg_low.png,yellow,blue,blue,low,incongruent,False,True
yellow_as_blue_bg_medium.png,yellow,blue,yellow,medium,incongruent,True,False
yellow_as_blue_bg_same.png,yellow,blue,blue,same,incongruent,False,True
yellow_as_brown_bg_high.png,yellow,brown,yellow,high,incongruent,True,False
yellow_as_brown_bg_low.png,yellow,brown,brown,low,incongruent,False,True
yellow_as_brown_bg_medium.png,yellow,brown,brown,medium,incongruent,False,True
yellow_as_brown_bg_same.png,yellow,brown,brown,same,incongruent,False,True
yellow_as_gray_bg_high.png,yellow,gray,yellow,high,incongruent,True,False
yellow_as_gray_bg_low.png,yellow,gray,yellow,low,incongruent,True,False
yellow_as_gray_bg_medium.png,yellow,gray,yellow,medium,incongruent,True,False
yellow_as_gray_bg_same.png,yellow,gray,gray,same,incongruent,False,True
yellow_as_green_bg_high.png,yellow,green,yellow,high,incongruent,True,False
yellow_as_green_bg_low.png,yellow,green,green,low,incongruent,False,True
yellow_as_green_bg_medium.png,yellow,green,yellow,medium,incongruent,True,False
yellow_as_green_bg_same.png,yellow,green,green,same,incongruent,False,True
yellow_as_orange_bg_high.png,yellow,orange,yellow,high,incongruent,True,False
yellow_as_orange_bg_low.png,yellow,orange,yellow,low,incongruent,True,False
yellow_as_orange_bg_medium.png,yellow,orange,yellow,medium,incongruent,True,False
yellow_as_orange_bg_same.png,yellow,orange,orange,same,incongruent,False,True
yellow_as_pink_bg_high.png,yellow,pink,yellow,high,incongruent,True,False
yellow_as_pink_bg_low.png,yellow,pink,pink,low,incongruent,False,True
yellow_as_pink_bg_medium.png,yellow,pink,pink,medium,incongruent,False,True
yellow_as_pink_bg_same.png,yellow,pink,pink,same,incongruent,False,True
yellow_as_purple_bg_high.png,yellow,purple,purple,high,incongruent,False,True
yellow_as_purple_bg_low.png,yellow,purple,purple,low,incongruent,False,True
yellow_as_purple_bg_medium.png,yellow,purple,yellow,medium,incongruent,True,False
yellow_as_purple_bg_same.png,yellow,purple,purple,same,incongruent,False,True
yellow_as_red_bg_high.png,yellow,red,yellow,high,incongruent,True,False
yellow_as_red_bg_low.png,yellow,red,yellow,low,incongruent,True,False
yellow_as_red_bg_medium.png,yellow,red,yellow,medium,incongruent,True,False
yellow_as_red_bg_same.png,yellow,red,red,same,incongruent,False,True
orange_as_black_bg_high.png,orange,black,orange,high,incongruent,True,False
orange_as_black_bg_low.png,orange,black,black,low,incongruent,False,True
orange_as_black_bg_medium.png,orange,black,orange,medium,incongruent,True,False
orange_as_black_bg_same.png,orange,black,black,same,incongruent,False,True
orange_as_blue_bg_high.png,orange,blue,blue,high,incongruent,False,True
orange_as_blue_bg_low.png,orange,blue,blue,low,incongruent,False,True
orange_as_blue_bg_medium.png,orange,blue,blue,medium,incongruent,False,True
orange_as_blue_bg_same.png,orange,blue,blue,same,incongruent,False,True
orange_as_brown_bg_high.png,orange,brown,orange,high,incongruent,True,False
orange_as_brown_bg_low.png,orange,brown,brown,low,incongruent,False,True
orange_as_brown_bg_medium.png,orange,brown,brown,medium,incongruent,False,True
orange_as_brown_bg_same.png,orange,brown,brown,same,incongruent,False,True
orange_as_gray_bg_high.png,orange,gray,orange,high,incongruent,True,False
orange_as_gray_bg_low.png,orange,gray,orange,low,incongruent,True,False
orange_as_gray_bg_medium.png,orange,gray,gray,medium,incongruent,False,True
orange_as_gray_bg_same.png,orange,gray,gray,same,incongruent,False,True
orange_as_green_bg_high.png,orange,green,green,high,incongruent,False,True
orange_as_green_bg_low.png,orange,green,green,low,incongruent,False,True
orange_as_green_bg_medium.png,orange,green,green,medium,incongruent,False,True
orange_as_green_bg_same.png,orange,green,green,same,incongruent,False,True
orange_as_pink_bg_high.png,orange,pink,pink,high,incongruent,False,True
orange_as_pink_bg_low.png,orange,pink,pink,low,incongruent,False,True
orange_as_pink_bg_medium.png,orange,pink,pink,medium,incongruent,False,True
orange_as_pink_bg_same.png,orange,pink,pink,same,incongruent,False,True
orange_as_purple_bg_high.png,orange,purple,purple,high,incongruent,False,True
orange_as_purple_bg_low.png,orange,purple,purple,low,incongruent,False,True
orange_as_purple_bg_medium.png,orange,purple,purple,medium,incongruent,False,True
orange_as_purple_bg_same.png,orange,purple,purple,same,incongruent,False,True
orange_as_red_bg_high.png,orange,red,red,high,incongruent,False,True
orange_as_red_bg_low.png,orange,red,red,low,incongruent,False,True
orange_as_red_bg_medium.png,orange,red,red,medium,incongruent,False,True
orange_as_red_bg_same.png,orange,red,red,same,incongruent,False,True
orange_as_yellow_bg_high.png,orange,yellow,yellow,high,incongruent,False,True
orange_as_yellow_bg_low.png,orange,yellow,yellow,low,incongruent,False,True
orange_as_yellow_bg_medium.png,orange,yellow,yellow,medium,incongruent,False,True
orange_as_yellow_bg_same.png,orange,yellow,yellow,same,incongruent,False,True
purple_as_black_bg_high.png,purple,black,purple,high,incongruent,True,False
purple_as_black_bg_low.png,purple,black,black,low,incongruent,False,True
purple_as_black_bg_medium.png,purple,black,purple,medium,incongruent,True,False
purple_as_black_bg_same.png,purple,black,black,same,incongruent,False,True
purple_as_blue_bg_high.png,purple,blue,purple,high,incongruent,True,False
purple_as_blue_bg_low.png,purple,blue,purple,low,incongruent,True,False
purple_as_blue_bg_medium.png,purple,blue,purple,medium,incongruent,True,False
purple_as_blue_bg_same.png,purple,blue,blue,same,incongruent,False,True
purple_as_brown_bg_high.png,purple,brown,purple,high,incongruent,True,False
purple_as_brown_bg_low.png,purple,brown,purple,low,incongruent,True,False
purple_as_brown_bg_medium.png,purple,brown,purple,medium,incongruent,True,False
purple_as_brown_bg_same.png,purple,brown,brown,same,incongruent,False,True
purple_as_gray_bg_high.png,purple,gray,purple,high,incongruent,True,False
purple_as_gray_bg_low.png,purple,gray,purple,low,incongruent,True,False
purple_as_gray_bg_medium.png,purple,gray,purple,medium,incongruent,True,False
purple_as_gray_bg_same.png,purple,gray,gray,same,incongruent,False,True
purple_as_green_bg_high.png,purple,green,purple,high,incongruent,True,False
purple_as_green_bg_low.png,purple,green,purple,low,incongruent,True,False
purple_as_green_bg_medium.png,purple,green,purple,medium,incongruent,True,False
purple_as_green_bg_same.png,purple,green,green,same,incongruent,False,True
purple_as_orange_bg_high.png,purple,orange,purple,high,incongruent,True,False
purple_as_orange_bg_low.png,purple,orange,purple,low,incongruent,True,False
purple_as_orange_bg_medium.png,purple,orange,purple,medium,incongruent,True,False
purple_as_orange_bg_same.png,purple,orange,orange,same,incongruent,False,True
purple_as_pink_bg_high.png,purple,pink,purple,high,incongruent,True,False
purple_as_pink_bg_low.png,purple,pink,purple,low,incongruent,True,False
purple_as_pink_bg_medium.png,purple,pink,purple,medium,incongruent,True,False
purple_as_pink_bg_same.png,purple,pink,pink,same,incongruent,False,True
purple_as_red_bg_high.png,purple,red,purple,high,incongruent,True,False
purple_as_red_bg_low.png,purple,red,purple,low,incongruent,True,False
purple_as_red_bg_medium.png,purple,red,purple,medium,incongruent,True,False
purple_as_red_bg_same.png,purple,red,red,same,incongruent,False,True
purple_as_yellow_bg_high.png,purple,yellow,purple,high,incongruent,True,False
purple_as_yellow_bg_low.png,purple,yellow,purple,low,incongruent,True,False
purple_as_yellow_bg_medium.png,purple,yellow,purple,medium,incongruent,True,False
purple_as_yellow_bg_same.png,purple,yellow,yellow,same,incongruent,False,True
brown_as_black_bg_high.png,brown,black,brown,high,incongruent,True,False
brown_as_black_bg_low.png,brown,black,black,low,incongruent,False,True
brown_as_black_bg_medium.png,brown,black,brown,medium,incongruent,True,False
brown_as_black_bg_same.png,brown,black,black,same,incongruent,False,True
brown_as_blue_bg_high.png,brown,blue,brown,high,incongruent,True,False
brown_as_blue_bg_low.png,brown,blue,brown,low,incongruent,True,False
brown_as_blue_bg_medium.png,brown,blue,brown,medium,incongruent,True,False
brown_as_blue_bg_same.png,brown,blue,blue,same,incongruent,False,True
brown_as_gray_bg_high.png,brown,gray,brown,high,incongruent,True,False
brown_as_gray_bg_low.png,brown,gray,brown,low,incongruent,True,False
brown_as_gray_bg_medium.png,brown,gray,brown,medium,incongruent,True,False
brown_as_gray_bg_same.png,brown,gray,gray,same,incongruent,False,True
brown_as_green_bg_high.png,brown,green,brown,high,incongruent,True,False
brown_as_green_bg_low.png,brown,green,brown,low,incongruent,True,False
brown_as_green_bg_medium.png,brown,green,brown,medium,incongruent,True,False
brown_as_green_bg_same.png,brown,green,green,same,incongruent,False,True
brown_as_orange_bg_high.png,brown,orange,brown,high,incongruent,True,False
brown_as_orange_bg_low.png,brown,orange,brown,low,incongruent,True,False
brown_as_orange_bg_medium.png,brown,orange,brown,medium,incongruent,True,False
brown_as_orange_bg_same.png,brown,orange,orange,same,incongruent,False,True
brown_as_pink_bg_high.png,brown,pink,brown,high,incongruent,True,False
brown_as_pink_bg_low.png,brown,pink,brown,low,incongruent,True,False
brown_as_pink_bg_medium.png,brown,pink,brown,medium,incongruent,True,False
brown_as_pink_bg_same.png,brown,pink,pink,same,incongruent,False,True
brown_as_purple_bg_high.png,brown,purple,purple,high,incongruent,False,True
brown_as_purple_bg_low.png,brown,purple,purple,low,incongruent,False,True
brown_as_purple_bg_medium.png,brown,purple,brown,medium,incongruent,True,False
brown_as_purple_bg_same.png,brown,purple,purple,same,incongruent,False,True
brown_as_red_bg_high.png,brown,red,brown,high,incongruent,True,False
brown_as_red_bg_low.png,brown,red,brown,low,incongruent,True,False
brown_as_red_bg_medium.png,brown,red,brown,medium,incongruent,True,False
brown_as_red_bg_same.png,brown,red,red,same,incongruent,False,True
brown_as_yellow_bg_high.png,brown,yellow,brown,high,incongruent,True,False
brown_as_yellow_bg_low.png,brown,yellow,brown,low,incongruent,True,False
brown_as_yellow_bg_medium.png,brown,yellow,brown,medium,incongruent,True,False
brown_as_yellow_bg_same.png,brown,yellow,yellow,same,incongruent,False,True
pink_as_black_bg_high.png,pink,black,pink,high,incongruent,True,False
pink_as_black_bg_low.png,pink,black,black,low,incongruent,False,True
pink_as_black_bg_medium.png,pink,black,pink,medium,incongruent,True,False
pink_as_black_bg_same.png,pink,black,black,same,incongruent,False,True
pink_as_blue_bg_high.png,pink,blue,pink,high,incongruent,True,False
pink_as_blue_bg_low.png,pink,blue,pink,low,incongruent,True,False
pink_as_blue_bg_medium.png,pink,blue,pink,medium,incongruent,True,False
pink_as_blue_bg_same.png,pink,blue,blue,same,incongruent,False,True
pink_as_brown_bg_high.png,pink,brown,pink,high,incongruent,True,False
pink_as_brown_bg_low.png,pink,brown,pink,low,incongruent,True,False
pink_as_brown_bg_medium.png,pink,brown,pink,medium,incongruent,True,False
pink_as_brown_bg_same.png,pink,brown,brown,same,incongruent,False,True
pink_as_gray_bg_high.png,pink,gray,pink,high,incongruent,True,False
pink_as_gray_bg_low.png,pink,gray,pink,low,incongruent,True,False
pink_as_gray_bg_medium.png,pink,gray,pink,medium,incongruent,True,False
pink_as_gray_bg_same.png,pink,gray,gray,same,incongruent,False,True
pink_as_green_bg_high.png,pink,green,pink,high,incongruent,True,False
pink_as_green_bg_low.png,pink,green,pink,low,incongruent,True,False
pink_as_green_bg_medium.png,pink,green,pink,medium,incongruent,True,False
pink_as_green_bg_same.png,pink,green,green,same,incongruent,False,True
pink_as_orange_bg_high.png,pink,orange,pink,high,incongruent,True,False
pink_as_orange_bg_low.png,pink,orange,pink,low,incongruent,True,False
pink_as_orange_bg_medium.png,pink,orange,pink,medium,incongruent,True,False
pink_as_orange_bg_same.png,pink,orange,orange,same,incongruent,False,True
pink_as_purple_bg_high.png,pink,purple,pink,high,incongruent,True,False
pink_as_purple_bg_low.png,pink,purple,pink,low,incongruent,True,False
pink_as_purple_bg_medium.png,pink,purple,pink,medium,incongruent,True,False
pink_as_purple_bg_same.png,pink,purple,purple,same,incongruent,False,True
pink_as_red_bg_high.png,pink,red,pink,high,incongruent,True,False
pink_as_red_bg_low.png,pink,red,pink,low,incongruent,True,False
pink_as_red_bg_medium.png,pink,red,pink,medium,incongruent,True,False
pink_as_red_bg_same.png,pink,red,red,same,incongruent,False,True
pink_as_yellow_bg_high.png,pink,yellow,pink,high,incongruent,True,False
pink_as_yellow_bg_low.png,pink,yellow,pink,low,incongruent,True,False
pink_as_yellow_bg_medium.png,pink,yellow,pink,medium,incongruent,True,False
pink_as_yellow_bg_same.png,pink,yellow,yellow,same,incongruent,False,True
gray_as_black_bg_high.png,gray,black,gray,high,incongruent,True,False
gray_as_black_bg_low.png,gray,black,black,low,incongruent,False,True
gray_as_black_bg_medium.png,gray,black,gray,medium,incongruent,True,False
gray_as_black_bg_same.png,gray,black,black,same,incongruent,False,True
gray_as_blue_bg_high.png,gray,blue,gray,high,incongruent,True,False
gray_as_blue_bg_low.png,gray,blue,gray,low,incongruent,True,False
gray_as_blue_bg_medium.png,gray,blue,gray,medium,incongruent,True,False
gray_as_blue_bg_same.png,gray,blue,blue,same,incongruent,False,True
gray_as_brown_bg_high.png,gray,brown,gray,high,incongruent,True,False
gray_as_brown_bg_low.png,gray,brown,gray,low,incongruent,True,False
gray_as_brown_bg_medium.png,gray,brown,gray,medium,incongruent,True,False
gray_as_brown_bg_same.png,gray,brown,brown,same,incongruent,False,True
gray_as_green_bg_high.png,gray,green,green,high,incongruent,False,True
gray_as_green_bg_low.png,gray,green,green,low,incongruent,False,True
gray_as_green_bg_medium.png,gray,green,green,medium,incongruent,False,True
gray_as_green_bg_same.png,gray,green,green,same,incongruent,False,True
gray_as_orange_bg_high.png,gray,orange,gray,high,incongruent,True,False
gray_as_orange_bg_low.png,gray,orange,gray,low,incongruent,True,False
gray_as_orange_bg_medium.png,gray,orange,gray,medium,incongruent,True,False
gray_as_orange_bg_same.png,gray,orange,orange,same,incongruent,False,True
gray_as_pink_bg_high.png,gray,pink,gray,high,incongruent,True,False
gray_as_pink_bg_low.png,gray,pink,gray,low,incongruent,True,False
gray_as_pink_bg_medium.png,gray,pink,gray,medium,incongruent,True,False
gray_as_pink_bg_same.png,gray,pink,pink,same,incongruent,False,True
gray_as_purple_bg_high.png,gray,purple,gray,high,incongruent,True,False
gray_as_purple_bg_low.png,gray,purple,purple,low,incongruent,False,True
gray_as_purple_bg_medium.png,gray,purple,purple,medium,incongruent,False,True
gray_as_purple_bg_same.png,gray,purple,purple,same,incongruent,False,True
gray_as_red_bg_high.png,gray,red,gray,high,incongruent,True,False
gray_as_red_bg_low.png,gray,red,gray,low,incongruent,True,False
gray_as_red_bg_medium.png,gray,red,gray,medium,incongruent,True,False
gray_as_red_bg_same.png,gray,red,red,same,incongruent,False,True
gray_as_yellow_bg_high.png,gray,yellow,gray,high,incongruent,True,False
gray_as_yellow_bg_low.png,gray,yellow,gray,low,incongruent,True,False
gray_as_yellow_bg_medium.png,gray,yellow,gray,medium,incongruent,True,False
gray_as_yellow_bg_same.png,gray,yellow,yellow,same,incongruent,False,True
black_as_blue_bg_high.png,black,blue,black,high,incongruent,True,False
black_as_blue_bg_low.png,black,blue,black,low,incongruent,True,False
black_as_blue_bg_medium.png,black,blue,black,medium,incongruent,True,False
black_as_blue_bg_same.png,black,blue,blue,same,incongruent,False,True
black_as_brown_bg_high.png,black,brown,black,high,incongruent,True,False
black_as_brown_bg_low.png,black,brown,black,low,incongruent,True,False
black_as_brown_bg_medium.png,black,brown,black,medium,incongruent,True,False
black_as_brown_bg_same.png,black,brown,brown,same,incongruent,False,True
black_as_gray_bg_high.png,black,gray,black,high,incongruent,True,False
black_as_gray_bg_low.png,black,gray,black,low,incongruent,True,False
black_as_gray_bg_medium.png,black,gray,black,medium,incongruent,True,False
black_as_gray_bg_same.png,black,gray,gray,same,incongruent,False,True
black_as_green_bg_high.png,black,green,black,high,incongruent,True,False
black_as_green_bg_low.png,black,green,black,low,incongruent,True,False
black_as_green_bg_medium.png,black,green,black,medium,incongruent,True,False
black_as_green_bg_same.png,black,green,green,same,incongruent,False,True
black_as_orange_bg_high.png,black,orange,black,high,incongruent,True,False
black_as_orange_bg_low.png,black,orange,black,low,incongruent,True,False
black_as_orange_bg_medium.png,black,orange,black,medium,incongruent,True,False
black_as_orange_bg_same.png,black,orange,orange,same,incongruent,False,True
black_as_pink_bg_high.png,black,pink,black,high,incongruent,True,False
black_as_pink_bg_low.png,black,pink,black,low,incongruent,True,False
black_as_pink_bg_medium.png,black,pink,black,medium,incongruent,True,False
black_as_pink_bg_same.png,black,pink,pink,same,incongruent,False,True
black_as_purple_bg_high.png,black,purple,black,high,incongruent,True,False
black_as_purple_bg_low.png,black,purple,black,low,incongruent,True,False
black_as_purple_bg_medium.png,black,purple,black,medium,incongruent,True,False
black_as_purple_bg_same.png,black,purple,purple,same,incongruent,False,True
black_as_red_bg_high.png,black,red,black,high,incongruent,True,False
black_as_red_bg_low.png,black,red,black,low,incongruent,True,False
black_as_red_bg_medium.png,black,red,black,medium,incongruent,True,False
black_as_red_bg_same.png,black,red,red,same,incongruent,False,True
black_as_yellow_bg_high.png,black,yellow,black,high,incongruent,True,False
black_as_yellow_bg_low.png,black,yellow,black,low,incongruent,True,False
black_as_yellow_bg_medium.png,black,yellow,black,medium,incongruent,True,False
black_as_yellow_bg_same.png,black,yellow,yellow,same,incongruent,False,True
