file,word,ink,condition,output,label
red_as_green.png,red,green.png,incongruent,the logo is a bold and bold combination of green.,green,neither
red_as_orange.png,red,orange.png,incongruent,the logo is a bold and bold color.,,neither
red_as_pink.png,red,pink.png,incongruent,red - - the best part of the world,red,word
red_as_purple.png,red,purple.png,incongruent,"the logo is a bold colour that can be used for a bold, bold look.",,neither
red_as_red.png,red,red.png,incongruent,the logo is a symbol of red.,red,word
red_as_yellow.png,red,yellow.png,incongruent,the logo of the new year,,neither
yellow_as_black.png,yellow,black.png,incongruent,yellow in black,"yellow,black",word
yellow_as_blue.png,yellow,blue.png,incongruent,the text is blue,blue,neither
yellow_as_brown.png,yellow,brown.png,incongruent,the yellow on the white background,yellow,word
yellow_as_gray.png,yellow,gray.png,incongruent,yellow : the yellow and white of the logo,yellow,word
yellow_as_green.png,yellow,green.png,incongruent,the logo of the logo,,neither
yellow_as_orange.png,yellow,orange.png,incongruent,the yellow on the white background,yellow,word
yellow_as_pink.png,yellow,pink.png,incongruent,the logo for the new year,,neither
yellow_as_purple.png,yellow,purple.png,incongruent,the logo is a yellow color with the word,yellow,word
yellow_as_red.png,yellow,red.png,incongruent,the logo on a white background,,neither
yellow_as_yellow.png,yellow,yellow.png,incongruent,yellow text on a white background,yellow,word
